"totalProfiles","totalPosts","totalComments","totalMirror","totalPublications","as_of_block","day"
4327,626,522,190,1338,"28487202",2022-05-18 02:00:00
8082,2128,1647,435,4210,"28527459",2022-05-19 02:00:00
8905,3068,2305,594,5967,"28567182",2022-05-20 02:00:00
9314,3685,2838,712,7235,"28608427",2022-05-21 02:00:00
9535,4175,3322,815,8312,"28649346",2022-05-22 02:00:00
9733,4699,3895,940,9534,"28690394",2022-05-23 02:00:00
9928,5189,4315,1025,10529,"28731314",2022-05-24 02:00:00
10601,5673,4881,1195,11749,"28771416",2022-05-25 02:00:00
11445,6406,5467,1401,13274,"28811005",2022-05-26 02:00:00
11833,6873,6099,1671,14643,"28851906",2022-05-27 02:00:00
11983,7308,6485,1842,15635,"28891229",2022-05-28 02:00:00
12095,7781,6733,1937,16451,"28931584",2022-05-29 02:00:00
12166,8268,6966,2023,17257,"28971170",2022-05-30 02:00:00
12346,8772,7189,2105,18066,"29011768",2022-05-31 02:00:00
12690,9285,7493,2192,18970,"29052215",2022-06-01 02:00:00
13332,9948,7898,2286,20132,"29093234",2022-06-02 02:00:00
15521,11037,9363,2497,22897,"29133618",2022-06-03 02:00:00
19969,12612,10619,2713,25944,"29174251",2022-06-04 02:00:00
21413,14136,12160,3344,29640,"29215194",2022-06-05 02:00:00
22743,16163,14791,3880,34834,"29254404",2022-06-06 02:00:00
24076,18186,17387,4442,40015,"29294398",2022-06-07 02:00:00
26333,20584,19996,5051,45631,"29334791",2022-06-08 02:00:00
26995,22471,21850,5789,50110,"29374804",2022-06-09 02:00:00
28036,24364,26671,6895,57930,"29414245",2022-06-10 02:00:00
29243,26201,29286,7501,62988,"29455400",2022-06-11 02:00:00
30014,27905,32061,8169,68135,"29495953",2022-06-12 02:00:00
30389,29708,34157,8626,72491,"29536016",2022-06-13 02:00:00
30752,31422,36498,9277,77197,"29576782",2022-06-14 02:00:00
31103,32862,37538,9564,79964,"29617176",2022-06-15 02:00:00
31571,34466,38516,9937,82919,"29655731",2022-06-16 02:00:00
31968,36381,39554,10430,86365,"29694827",2022-06-17 02:00:00
32139,37923,40204,10775,88902,"29732931",2022-06-18 02:00:00
32286,39420,40960,11040,91420,"29771638",2022-06-19 02:00:00
32636,41202,41860,11526,94588,"29808097",2022-06-20 02:00:00
33331,42941,42621,12182,97744,"29847031",2022-06-21 02:00:00
33742,44488,43116,12436,100040,"29885979",2022-06-22 02:00:00
33924,45955,43630,12799,102384,"29924701",2022-06-23 02:00:00
33987,47405,43951,13022,104378,"29962657",2022-06-24 02:00:00
34040,48672,44444,13321,106437,"29999144",2022-06-25 02:00:00
34162,50782,47152,13546,111480,"30038573",2022-06-26 02:00:00
34277,52395,47932,13795,114122,"30077156",2022-06-27 02:00:00
34355,53814,48328,13998,116140,"30116196",2022-06-28 02:00:00
34625,55752,49437,14213,119402,"30154860",2022-06-29 02:00:00
35186,57731,50167,14494,122392,"30194066",2022-06-30 02:00:00
35337,59919,51026,14642,125587,"30231862",2022-07-01 02:00:00
35434,61788,51972,14888,128648,"30269197",2022-07-02 02:00:00
35538,63486,52685,15079,131250,"30307868",2022-07-03 02:00:00
35603,65157,53531,15279,133967,"30346110",2022-07-04 02:00:00
35801,67006,54608,15559,137173,"30384255",2022-07-05 02:00:00
36126,68769,55396,15822,139987,"30422350",2022-07-06 02:00:00
